rep,simple_rate,mle_rate,NA_rate,NP_rate,NS_rate,PB1_rate,PB2_rate,MP_rate,PA_rate
0,0.12950078130315282,0.13004120412213951,0.025277380226075095,0.04212896704345848,0.0391982562926092,0.02564371906993125,0.04139628935574617,0.04286164473117081,0.0391982562926092
1,0.13243149205400212,0.13338307297006763,0.025277380226075095,0.038099239761040724,0.038831917448753035,0.027109074445355895,0.04286164473117081,0.04139628935574617,0.05311913235914331
2,0.134446355695211,0.13522406946315052,0.025277380226075095,0.041029950511890005,0.03993093398032152,0.04322798357502697,0.034802190166335276,0.041029950511890005,0.04505967779430777
3,0.1399414383530534,0.14273979339918333,0.025277380226075095,0.05018842160829402,0.0391982562926092,0.02454470253836277,0.049822082764437864,0.040663611668033846,0.05202011582757483
4,0.12400569864531041,0.12293151665439317,0.025277380226075095,0.0373665620733284,0.038831917448753035,0.02417836369450661,0.034802190166335276,0.040663611668033846,0.046525033169732416
5,0.12492154575495082,0.12402101387855888,0.025277380226075095,0.0373665620733284,0.038099239761040724,0.026010057913787413,0.034802190166335276,0.04139628935574617,0.04432700010659545
6,0.1326146614759302,0.13288844413410736,0.02930710750849286,0.038831917448753035,0.038831917448753035,0.026376396757643576,0.034802190166335276,0.04212896704345848,0.05311913235914331
7,0.13188198378821786,0.1330598693219866,0.025277380226075095,0.038831917448753035,0.038831917448753035,0.02417836369450661,0.032970495947054465,0.040297272824177686,0.05934689270469804
8,0.1364612193364199,0.13803833599908025,0.0289407686646367,0.038099239761040724,0.038099239761040724,0.026376396757643576,0.043594322418883134,0.04212896704345848,0.055317165422280275
9,0.13701072760220412,0.1381452651480414,0.026010057913787413,0.03956459513646536,0.0391982562926092,0.04212896704345848,0.04249530588731465,0.04212896704345848,0.049455743920581705
10,0.12528788459880696,0.1244685690809965,0.025277380226075095,0.03700022322947224,0.038831917448753035,0.02564371906993125,0.033336834790910624,0.04139628935574617,0.0476240497013009
11,0.1371938970241322,0.13924334361401763,0.025277380226075095,0.054950826578424115,0.038831917448753035,0.027109074445355895,0.034802190166335276,0.04212896704345848,0.05202011582757483
12,0.12657007055230354,0.12595238974759998,0.031138801727773665,0.038099239761040724,0.038831917448753035,0.026376396757643576,0.033336834790910624,0.041029950511890005,0.0391982562926092
13,0.13023345899086516,0.13021031546651046,0.031138801727773665,0.0373665620733284,0.03846557860489688,0.02564371906993125,0.03993093398032152,0.04286164473117081,0.040297272824177686
14,0.12931761188122476,0.129060401154506,0.032604157103198306,0.0373665620733284,0.03993093398032152,0.027109074445355895,0.033336834790910624,0.040297272824177686,0.04579235548202009
