Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_19085919,A/blue-winged_teal/Alberta/464/2023,EPI3251702,St._Jude_Center_of_Excellence_for_Influenza_Research_and_Response_-_CEIRR_Influenza_Data_Processing_and_Communication_Center,
EPI_ISL_64380,A/mallard/Quebec/11040/2006,EPI225186,,
EPI_ISL_19085918,A/blue-winged_teal/Alberta/465/2023,EPI3251700,St._Jude_Center_of_Excellence_for_Influenza_Research_and_Response_-_CEIRR_Influenza_Data_Processing_and_Communication_Center,
EPI_ISL_64381,A/mallard/Quebec/11045/2006,EPI225194,,
EPI_ISL_19429974,A/green-winged_teal/Michigan/23-034360-009-original/2023,EPI3567103,National_Veterinary_Services_Laboratories_-_USDA,National_Veterinary_Services_Laboratories_-_USDA
EPI_ISL_19085916,A/blue-winged_teal/Alberta/467/2023,EPI3251696,St._Jude_Center_of_Excellence_for_Influenza_Research_and_Response_-_CEIRR_Influenza_Data_Processing_and_Communication_Center,
EPI_ISL_64383,A/mallard/Quebec/11082/2006,EPI225210,,
EPI_ISL_64388,A/mallard/Quebec/11121/2006,EPI225250,,
EPI_ISL_244614,A/mallard/Xuyi/14/2015,EPI895479,,
EPI_ISL_64390,A/mallard/Quebec/11194/2006,EPI225266,,
EPI_ISL_64391,A/mallard/Quebec/11247/2006,EPI225274,,
EPI_ISL_64393,A/mallard/Washington/20010-002/2006,EPI225290,,
EPI_ISL_64401,A/pelican/Zambia/01/2006,EPI225337,,
EPI_ISL_277405,A/swine/Japan/KU-MD5/2013,EPI1057545,Kagoshima_University,Kagoshima_University
EPI_ISL_277406,A/swine/Japan/KU-MD7/2013,EPI1057547,Kagoshima_University,Kagoshima_University
EPI_ISL_129955,A/duck/Shanghai/C84/2009,EPI398851,,
EPI_ISL_146342,A/duck/Guangdong/455/2000,EPI469555,,
EPI_ISL_129971,A/equine/Kyonggi/SA1/2011,EPI398887,,
EPI_ISL_129973,A/swine/Minnesota/18/2012,EPI398892,,
EPI_ISL_19167902,A/cinnamon_teal/Chile/C30982/2017,EPI3337840,St._Jude_Center_of_Excellence_for_Influenza_Research_and_Response_-_CEIRR_Influenza_Data_Processing_and_Communication_Center,
EPI_ISL_129979,A/mallard/Norway/10_779/2009,EPI398946,,
EPI_ISL_129987,A/canine/Korea/KRIBB01/2011,EPI398990,,
EPI_ISL_129989,A/swine/Illinois/A01241212/2012,EPI398997,,
EPI_ISL_19167981,A/yellow-billed_pintail/Chile/C30916/2017,EPI3338405,St._Jude_Center_of_Excellence_for_Influenza_Research_and_Response_-_CEIRR_Influenza_Data_Processing_and_Communication_Center,
EPI_ISL_129999,A/swine/Minnesota/A01125993/2012,EPI399030,,
EPI_ISL_129999,A/swine/Minnesota/A01125993/2012,EPI1908901,,
EPI_ISL_261073,A/swine/Gent/172/2008,EPI985843,,
EPI_ISL_64466,A/swine/Minnesota/65767/2006,EPI225753,,
EPI_ISL_130004,A/swine/Montana/A01241610/2012,EPI399045,,
EPI_ISL_130007,A/swine/Montana/A01327551/2012,EPI399054,,
EPI_ISL_130016,A/swine/Illinois/A01327868/2012,EPI399084,,
EPI_ISL_179173,A/duck/Vietnam/LBM211/2012,EPI589352,,
EPI_ISL_130025,A/swine/Indiana/A01327215/2012,EPI399111,,
EPI_ISL_130024,A/swine/Illinois/A01240891/2012,EPI399108,,
EPI_ISL_130027,A/swine/Minnesota/A01327763/2012,EPI399117,,
EPI_ISL_130031,A/swine/Illinois/A01240835/2012,EPI399132,,
EPI_ISL_15342,A/equine/Kentucky/3/1981,EPI133028,,
EPI_ISL_15343,A/equine/California/83/1982,EPI133047,,
EPI_ISL_15344,A/equine/Kentucky/1/1986,EPI133066,,
EPI_ISL_15345,A/equine/Kentucky/692/1988,EPI133104,,
EPI_ISL_15346,A/equine/Kentucky/694/1988,EPI133123,,
EPI_ISL_15347,A/equine/Kentucky/698/1988,EPI133142,,
EPI_ISL_130037,A/swine/Nebraska/A01241785/2012,EPI399150,,
EPI_ISL_15348,A/equine/Kentucky/1277/1990,EPI133161,,
EPI_ISL_130036,A/swine/Minnesota/A01327921/2012,EPI399147,,
EPI_ISL_15349,A/equine/Texas/39655/1991,EPI133180,,
EPI_ISL_130039,A/swine/Oklahoma/A01327676/2012,EPI399156,,
EPI_ISL_15350,A/equine/Kentucky/1/1992,EPI133199,,
EPI_ISL_130038,A/swine/Minnesota/A01327764/2012,EPI399153,,
EPI_ISL_15351,A/equine/Alaska/29759/1991,EPI133218,,
EPI_ISL_15352,A/equine/Kentucky/1/1991,EPI133256,,
EPI_ISL_130040,A/swine/Illinois/A01327396/2012,EPI399159,,
EPI_ISL_15353,A/equine/Kentucky/8/1994,EPI133275,,
EPI_ISL_130043,A/swine/Illinois/A01241065/2012,EPI399168,,
EPI_ISL_15356,A/equine/New_York/1/1983,EPI133332,,
EPI_ISL_17464053,A/Guangdong/ZS-23SF005/2023,EPI2508604,Guangdong_Provincial_Center_for_Disease_Control_and_Prevention,Guangdong_Provincial_Center_for_Disease_Control_and_Prevention
EPI_ISL_130049,A/swine/Illinois/A01327903/2012,EPI399186,,
EPI_ISL_130050,A/swine/Indiana/A01327213/2012,EPI399189,,
EPI_ISL_130053,A/swine/Illinois/A01241208/2012,EPI399198,,
EPI_ISL_130055,A/swine/Minnesota/A01125992/2012,EPI399204,,
EPI_ISL_130054,A/swine/Illinois/A01327905/2012,EPI399201,,
EPI_ISL_130068,A/swine/Nebraska/A01327581/2012,EPI399243,,
EPI_ISL_130071,A/swine/Montana/A01327552/2012,EPI399252,,
EPI_ISL_130077,A/swine/Minnesota/A01327769/2012,EPI399270,,
EPI_ISL_130084,A/swine/Minnesota/A01327922/2012,EPI399294,,
EPI_ISL_130087,A/swine/Nebraska/A01327747/2012,EPI399303,,
EPI_ISL_130088,A/swine/Minnesota/A01327768/2012,EPI399306,,
EPI_ISL_130095,A/swine/Illinois/A01241066/2012,EPI399330,,
EPI_ISL_130094,A/swine/Illinois/A01241840/2012,EPI399327,,
EPI_ISL_130098,A/swine/Illinois/A01240836/2012,EPI399339,,
EPI_ISL_130101,A/swine/Nebraska/A01241171/2012,EPI399348,,
EPI_ISL_130102,A/swine/Minnesota/A01328451/2012,EPI399351,,
EPI_ISL_3914875,A/Gallus_gallus/Belgium/3978_0001/2019(H3N1),EPI1888387,Sciensano_-_Animal_Infectious_Diseases,"Sciensano,_Department_of_Animal_Infectious_Diseases"
