Isolate ID,Name,Accession,Originating Lab,Submitting Lab
EPI_ISL_1081360,A/shoveler/Yakutia/25/2020,EPI1848219,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081361,A/shoveler/Yakutia/65/2020,EPI1848227,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081362,A/common_Teal/Yakutia/128/2020,EPI1848235,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081363,A/common_Teal/Yakutia/57x/2020,EPI1848243,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081364,A/common_Teal/Yakutia/59x/2020,EPI1848251,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081365,A/common_Teal/Yakutia/60x/2020,EPI1848259,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081366,A/garganey/Yakutia/94/2020,EPI1848267,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_1081367,A/garganey/Yakutia/98/2020,EPI1848275,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_245774,A/swine/Kentucky/15TOSU1985/2015,EPI901189,,
EPI_ISL_245773,A/swine/Kentucky/15TOSU26096/2015,EPI901177,,
EPI_ISL_245772,A/swine/Kentucky/15TOSU2007/2015,EPI901385,,
EPI_ISL_376852,A/swine/North_Carolina/A02427880/2018,EPI1541682,,
EPI_ISL_245778,A/swine/Ohio/14TOSU22294/2014,EPI901242,,
EPI_ISL_294934,A/equine/Oregon/78356/2012,EPI1157878,,
EPI_ISL_294935,A/canine/Connecticut/85863/2011,EPI1157841,,
EPI_ISL_245776,A/swine/Kentucky/15TOSU1895/2015,EPI901277,,
EPI_ISL_245783,A/swine/Kentucky/15TOSU1974/2015,EPI901361,,
EPI_ISL_376851,A/swine/Utah/A02427845/2018,EPI1541680,,
EPI_ISL_245781,A/swine/Kentucky/15TOSU1903/2015,EPI901167,,
EPI_ISL_294940,A/canine/New_York/3699/2010,EPI1157865,,
EPI_ISL_245787,A/swine/Kentucky/15TOSU2017/2015,EPI901138,,
EPI_ISL_376860,A/swine/Iowa/A01785787/2018,EPI1541698,,
EPI_ISL_311325,A/swine/Ohio/OH-18-7965/2018,EPI1237383,,
EPI_ISL_294941,A/canine/Vermont/278213/2013,EPI1157894,,
EPI_ISL_1081354,A/common_Teal/Yakutia/49/2020,EPI1848171,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_376863,A/swine/Iowa/A01785783/2018,EPI1541704,,
EPI_ISL_311326,A/swine/Ohio/OH-18-7969/2018,EPI1237391,,
EPI_ISL_294942,A/canine/Maine/058124/2016,EPI1157830,,
EPI_ISL_1081355,A/european_wigeon/Yakutia/55/2020,EPI1848179,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_294943,A/canine/New_York/1623.1/2010,EPI1157868,,
EPI_ISL_294936,A/equine/New_York/135857/2016,EPI1157856,,
EPI_ISL_1081356,A/mallard/Yakutia/11/2020,EPI1848187,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_294937,A/canine/Pennsylvania/96978/2009,EPI1157820,,
EPI_ISL_1081357,A/mallard/Yakutia/21/2020,EPI1848195,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_245790,A/swine/Ohio/11TOSU559/2011,EPI901158,,
EPI_ISL_294938,A/canine/New_York/159903/2012,EPI1157829,,
EPI_ISL_1081359,A/northern_pintail/Yakutia/14/2020,EPI1848211,Research_Institute_of_Experimental_and_Clinical_Medicine,National_Institute_of_Animal_Health
EPI_ISL_311323,A/swine/Ohio/OH-18-7450/2018,EPI1620532,,
EPI_ISL_294939,A/equine/Georgia/121362-16/2016,EPI1157812,,
EPI_ISL_376870,A/swine/Missouri/A02428123/2018,EPI1541718,,
EPI_ISL_294944,A/equine/Florida/146609/2011,EPI1157899,,
EPI_ISL_376865,A/swine/Minnesota/A01785812/2018,EPI1541708,,
EPI_ISL_294945,A/canine/Florida/15592.1/2004,EPI1157860,,
EPI_ISL_245798,A/swine/Kentucky/15TOSU1930/2015,EPI901115,,
EPI_ISL_245797,A/swine/Kentucky/15TOSU1890/2015,EPI901399,,
EPI_ISL_245796,A/swine/Kentucky/15TOSU1908/2015,EPI901109,,
EPI_ISL_245803,A/swine/Indiana/14TOSU6376/2014,EPI901338,,
EPI_ISL_245801,A/swine/Kentucky/15TOSU2018/2015,EPI901129,,
EPI_ISL_16924974,A/swine/Iowa/A02751211/2022,EPI2405582,,
EPI_ISL_16924975,A/swine/Indiana/A02751202/2022,EPI2405584,,
EPI_ISL_376872,A/swine/Iowa/A02428126/2018,EPI1541722,,
EPI_ISL_245804,A/swine/Kentucky/15TOSU1910/2015,EPI901222,,
EPI_ISL_16924978,A/swine/Indiana/A02751164/2022,EPI2405590,,
EPI_ISL_245811,A/swine/Kentucky/15TOSU1991/2015,EPI901363,,
EPI_ISL_245810,A/swine/Kentucky/15TOSU1906/2015,EPI901386,,
EPI_ISL_163891,A/mallard/Finland/11237/2007,EPI534766,,
EPI_ISL_245808,A/swine/Kentucky/15TOSU1961/2015,EPI901178,,
EPI_ISL_376880,A/swine/Minnesota/A01785814/2019,EPI1541738,,
EPI_ISL_163898,A/duck/Zhejiang/D13/2013,EPI534833,,
EPI_ISL_163899,A/duck/Zhejiang/6D4/2013,EPI534834,,
EPI_ISL_163897,A/duck/Zhejiang/D11/2013,EPI534832,,
EPI_ISL_163902,A/duck/Zhejiang/D17/2013,EPI534837,,
EPI_ISL_163903,A/duck/Zhejiang/D18/2013,EPI534838,,
EPI_ISL_163900,A/duck/Zhejiang/6D7/2013,EPI534835,,
EPI_ISL_163901,A/duck/Zhejiang/D16/2013,EPI534836,,
EPI_ISL_163906,A/duck/Zhejiang/D1-3/2013,EPI534841,,
EPI_ISL_163907,A/duck/Zhejiang/D1-6/2013,EPI534842,,
EPI_ISL_163904,A/duck/Zhejiang/D1-1/2013,EPI534839,,
EPI_ISL_163905,A/duck/Zhejiang/D1-2/2013,EPI534840,,
EPI_ISL_163908,A/swine/USA/2013028053/2013,EPI534887,,
EPI_ISL_131140,A/swine/Minnesota/A01301617/2012,EPI401102,,
EPI_ISL_163909,A/swine/USA/2014001372/2014,EPI534890,,
EPI_ISL_65627,A/turkey/OH/313053/2004,EPI229372,,
EPI_ISL_65628,A/swine/Guangxi/1/2004,EPI229380,,
EPI_ISL_327777,A/duck/France/161005/2016,EPI1302479,,
EPI_ISL_327789,A/swine/Minnesota/A02171021/2018,EPI1302524,,
EPI_ISL_327790,A/swine/Iowa/A02171026/2018,EPI1302526,,
EPI_ISL_327785,A/swine/Iowa/A02171020/2018,EPI1302514,,
EPI_ISL_327796,A/swine/Nebraska/A01785583/2018,EPI1302555,,
EPI_ISL_327793,A/swine/North_Carolina/A01785579/2018,EPI1302549,,
EPI_ISL_163958,A/swine/Iowa/A01501240/2014,EPI534944,,
EPI_ISL_163959,A/swine/Iowa/A01501048/2014,EPI534947,,
EPI_ISL_327794,A/swine/North_Carolina/A01785582/2018,EPI1302551,,
EPI_ISL_65658,A/American_black_duck/North_Carolina/675-075/2004,EPI229503,,
EPI_ISL_344184,A/equine/Sydney/2888-8/2007,EPI1380568,Elizabeth_Macarthur_Agricultural_Institute,CSIRO_Australian_Animal_Health_Laboratory
EPI_ISL_16925056,A/swine/Illinois/A02751180/2022,EPI2405596,,
EPI_ISL_16925061,A/swine/Iowa/A02751212/2022,EPI2405606,,
EPI_ISL_327820,A/swine/Iowa/16TOSU2298/2016,EPI1302709,,
EPI_ISL_327823,A/swine/Michigan/16TOSU3328/2016,EPI1302701,,
EPI_ISL_327819,A/swine/Indiana/16TOSU2159/2016,EPI1302845,,
EPI_ISL_131213,A/swine/Iowa/A01243736/2012,EPI401367,,
EPI_ISL_327829,A/swine/Ohio/16TOSU3193/2016,EPI1302762,,
EPI_ISL_16925072,A/swine/Illinois/A02751215/2022,EPI2405628,,
EPI_ISL_327831,A/swine/Iowa/16TOSU2772/2016,EPI1302893,,
EPI_ISL_327825,A/swine/Ohio/16TOSU3152/2016,EPI1302712,,
EPI_ISL_327824,A/swine/Ohio/16TOSU3194/2016,EPI1302723,,
EPI_ISL_16925076,A/swine/Illinois/A02751170/2022,EPI2405636,,
EPI_ISL_327826,A/swine/Iowa/16TOSU2428/2016,EPI1302820,,
EPI_ISL_327837,A/swine/Iowa/16TOSU2459/2016,EPI1302797,,
EPI_ISL_327836,A/swine/Indiana/16TOSU2233/2016,EPI1302850,,
EPI_ISL_327838,A/swine/Missouri/A02170599/2018,EPI1302735,,
EPI_ISL_16925086,A/swine/Iowa/A02751166/2022,EPI2405656,,
EPI_ISL_327833,A/swine/Ohio/16TOSU3066/2016,EPI1302849,,
EPI_ISL_327832,A/swine/Michigan/16TOSU3404/2016,EPI1302803,,
EPI_ISL_16925084,A/swine/Iowa/A02751168/2022,EPI2405652,,
EPI_ISL_16925085,A/swine/Minnesota/A02751160/2022,EPI2405654,,
EPI_ISL_327834,A/swine/Iowa/16TOSU2410/2016,EPI1302799,,
EPI_ISL_16925091,A/swine/Iowa/A02751206/2022,EPI2405666,,
EPI_ISL_16925088,A/swine/Illinois/A02751224/2022,EPI2405660,,
EPI_ISL_16925095,A/swine/Illinois/A02751155/2022,EPI2405674,,
EPI_ISL_17760675,A/equine/California/CRP342/2019,EPI2582528,Cornell_University,
EPI_ISL_17760674,A/equine/California/CRP341/2019,EPI2582520,Cornell_University,
EPI_ISL_16925103,A/swine/Iowa/A02751203/2022,EPI2405690,,
EPI_ISL_17760673,A/equine/California/CRP340/2019,EPI2582512,Cornell_University,
EPI_ISL_131245,A/swine/Chonburi/NIAH106952-026/2011,EPI401576,,
EPI_ISL_16925106,A/swine/Indiana/A02751182/2022,EPI2405696,,
EPI_ISL_16925104,A/swine/Illinois/A02751201/2022,EPI2405692,,
EPI_ISL_16925110,A/swine/Minnesota/A02751150/2022,EPI2405704,,
EPI_ISL_131254,A/swine/Ohio/12TOSU483/2012,EPI401680,,
EPI_ISL_131255,A/swine/Ohio/12TOSU484/2012,EPI401684,,
EPI_ISL_16925108,A/swine/Iowa/A02751151/2022,EPI2405700,,
EPI_ISL_131252,A/swine/Ohio/A00138552/2012,EPI401609,,
EPI_ISL_16925109,A/swine/Indiana/A02751162/2022,EPI2405702,,
EPI_ISL_131253,A/swine/Minnesota/A01301908/2012,EPI401676,,
EPI_ISL_131258,A/swine/Ohio/12TOSU527/2012,EPI401702,,
EPI_ISL_131256,A/swine/Ohio/12TOSU522/2012,EPI401687,,
EPI_ISL_16925113,A/swine/Iowa/A02751105/2022,EPI2405710,,
EPI_ISL_16925116,A/swine/Ohio/A02751145/2022,EPI2405716,,
EPI_ISL_16925117,A/swine/Iowa/A02751181/2022,EPI2405718,,
EPI_ISL_131261,A/swine/Pennsylvania/A01104049/2012,EPI401667,,
EPI_ISL_393431,A/swine/Oklahoma/A01678605/2019,EPI1601395,,
EPI_ISL_278764,A/swine/Nebraska/A01785271/2017,EPI1063135,,
EPI_ISL_278765,A/swine/Minnesota/A01785270/2017,EPI1063137,,
EPI_ISL_278763,A/swine/Minnesota/A01678498/2017,EPI1063133,,
EPI_ISL_393463,A/Blue-winged_Teal/Ohio/18OS1705/2018,EPI1601627,,
EPI_ISL_393457,A/Mallard/Ohio/18OS1844/2018,EPI1601589,,
EPI_ISL_246022,A/swine/Illinois/A01668163/2016,EPI901701,,
EPI_ISL_246021,A/swine/Minnesota/A01668212/2016,EPI901699,,
EPI_ISL_393473,A/Mallard/Ohio/18OS1219/2018,EPI1601706,,
EPI_ISL_246027,A/swine/Iowa/A01668202/2016,EPI901711,,
EPI_ISL_393487,A/chicken/Belgium/460/2019,EPI1601820,,
EPI_ISL_278797,A/swine/Quebec/1561816/2014,EPI1063339,,
EPI_ISL_278798,A/swine/Quebec/1698185/2014,EPI1063340,,
EPI_ISL_278799,A/swine/Quebec/1698182/2014,EPI1063341,,
EPI_ISL_278792,A/swine/Quebec/1603088/2014,EPI1063346,,
EPI_ISL_246031,A/swine/Missouri/A01668196/2016,EPI901719,,
EPI_ISL_278794,A/swine/Quebec/1279825/2011,EPI1063337,,
EPI_ISL_278795,A/swine/Quebec/1279920/2011,EPI1063338,,
EPI_ISL_393494,A/swine/Virginia/A02478581/2019,EPI1601846,,
EPI_ISL_278804,A/swine/Quebec/1557833/2013,EPI1063343,,
EPI_ISL_278805,A/swine/Quebec/1708733/2015,EPI1063344,,
EPI_ISL_147731,A/swine/North_Carolina/A01432997/2013,EPI473811,,
EPI_ISL_393492,A/swine/North_Carolina/A02478615/2019,EPI1601839,,
EPI_ISL_393493,A/swine/Iowa/A02478617/2019,EPI1601841,,
EPI_ISL_147729,A/swine/North_Carolina/A01432998/2013,EPI473805,,
EPI_ISL_246038,A/swine/North_Carolina/A01668240/2016,EPI901734,,
EPI_ISL_147732,A/swine/Iowa/A01290302/2013,EPI473814,,
EPI_ISL_278803,A/swine/Quebec/1626561/2014,EPI1063342,,
EPI_ISL_393503,A/swine/Minnesota/A02245205/2019,EPI1601867,,
EPI_ISL_393500,A/swine/North_Carolina/A02245215/2019,EPI1601861,,
EPI_ISL_278808,A/swine/Quebec/1714808/2015,EPI1063345,,
EPI_ISL_278810,A/swine/Quebec/1708732/2015,EPI1063335,,
EPI_ISL_278811,A/swine/Quebec/P0316/2011,EPI1063336,,
EPI_ISL_393510,A/swine/Iowa/A02478623/2019,EPI1601881,,
EPI_ISL_393511,A/swine/Indiana/A02478626/2019,EPI1601883,,
EPI_ISL_278821,A/swine/Korea/S2001/2015,EPI1063354,,
EPI_ISL_393509,A/swine/Kansas/A02245216/2019,EPI1601879,,
EPI_ISL_377133,A/swine/Kagoshima/37-7198/2019,EPI1542734,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_393519,A/mallard/Jiangxi/G98/2014,EPI1601911,,
EPI_ISL_19283980,A/swine/Iowa/K019093/2024,EPI3457134,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_377134,A/swine/Kagoshima/37-7213/2019,EPI1542742,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_278824,A/swine/Italy/229049/2015,EPI1063372,,
EPI_ISL_393515,A/swine/North_Carolina/A02478628/2019,EPI1601891,,
EPI_ISL_278826,A/swine/Italy/240849/2015,EPI1063387,,
EPI_ISL_278827,A/swine/Italy/248147-8/2015,EPI1063395,,
EPI_ISL_19283990,A/swine/Nebraska/I048371/2024,EPI3457194,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_19283991,A/swine/Nebraska/I058034/2024,EPI3457202,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_19283988,A/swine/Nebraska/I038468/2024,EPI3457178,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_19283989,A/swine/Nebraska/I048370/2024,EPI3457186,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_65845,A/red_crested_pochard/Mongolia/1915/2006,EPI230013,,
EPI_ISL_377136,A/swine/Kagoshima/37-7218/2019,EPI1542758,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_393534,A/swine/Iowa/A02478650/2019,EPI1601943,,
EPI_ISL_278844,A/swine/Italy/1103/2015,EPI1063535,,
EPI_ISL_65849,A/swine/Wisconsin/R7c/2001,EPI230035,,
EPI_ISL_278847,A/swine/Italy/17234/2015,EPI1063559,,
EPI_ISL_12943865,A/chicken/Henan/F0308/2022,EPI2047303,China_Agricultural_University,China_Agricultural_University
EPI_ISL_278841,A/swine/Italy/358481-1/2014,EPI1063511,,
EPI_ISL_278842,A/swine/Italy/359582-2/2014,EPI1063519,,
EPI_ISL_278843,A/swine/Italy/359814/2014,EPI1063527,,
EPI_ISL_246082,A/swine/Iowa/A01668526/2016,EPI901818,,
EPI_ISL_6816042,A/swine/Iowa/A02636179/2021,EPI1932977,,
EPI_ISL_393540,A/swine/Iowa/A02478649/2019,EPI1601955,,
EPI_ISL_246081,A/swine/Iowa/A01668207/2016,EPI901816,,
EPI_ISL_393541,A/swine/Utah/A02478641/2019,EPI1601957,,
EPI_ISL_278855,A/swine/Italy/335254/2014,EPI1063620,,
EPI_ISL_278848,A/swine/Italy/23398/2015,EPI1063567,,
EPI_ISL_6816045,A/swine/Iowa/A02636163/2021,EPI1932981,,
EPI_ISL_393539,A/swine/Iowa/A02478654/2019,EPI1601953,,
EPI_ISL_246086,A/swine/Iowa/A01668529/2016,EPI901826,,
EPI_ISL_6816047,A/swine/Iowa/A02636165/2021,EPI1932989,,
EPI_ISL_393551,A/swine/Iowa/A02478636/2019,EPI1601977,,
EPI_ISL_6816035,A/swine/Minnesota/A02246970/2021,EPI1932963,,
EPI_ISL_393546,A/swine/Iowa/A02478634/2019,EPI1601967,,
EPI_ISL_278856,A/swine/Italy/341031-3/2014,EPI1063627,,
EPI_ISL_278857,A/swine/Italy/348315/2014,EPI1063635,,
EPI_ISL_246092,A/swine/Iowa/A01668518/2016,EPI901838,,
EPI_ISL_278869,A/swine/Italy/134414/2014,EPI1063730,,
EPI_ISL_246098,A/swine/Minnesota/A01678475/2016,EPI901856,,
EPI_ISL_393556,A/swine/North_Carolina/A02478653/2019,EPI1601987,,
EPI_ISL_393557,A/swine/Oklahoma/A02478660/2019,EPI1601989,,
EPI_ISL_393554,A/swine/Iowa/A02478658/2019,EPI1601983,,
EPI_ISL_393552,A/swine/Iowa/A02478632/2019,EPI1601979,,
EPI_ISL_278887,A/swine/Italy/352498/2013,EPI1063984,,
EPI_ISL_278883,A/swine/Italy/133457-2/2014,EPI1063844,,
EPI_ISL_278894,A/swine/Italy/61352/2014,EPI1063910,,
EPI_ISL_278889,A/swine/Italy/23870/2014,EPI1063870,,
EPI_ISL_278900,A/swine/Italy/340032/2013,EPI1063960,,
EPI_ISL_278909,A/swine/Italy/282852/2013,EPI1064034,,
EPI_ISL_278916,A/swine/Italy/94921/2013,EPI1064083,,
EPI_ISL_278917,A/swine/Italy/100176-1/2013,EPI1064093,,
EPI_ISL_278913,A/swine/Italy/337155/2012,EPI1064063,,
EPI_ISL_278914,A/swine/Italy/13602/2013,EPI1064071,,
EPI_ISL_278920,A/swine/Italy/319159-3/2010,EPI1064117,,
EPI_ISL_278922,A/swine/Italy/171855/2011,EPI1064131,,
EPI_ISL_180639,A/swine/Nebraska/A01567651/2015,EPI593660,,
EPI_ISL_131496,A/swine/Chonburi/NIAH106952-028/2011,EPI403389,,
EPI_ISL_262582,A/swine/Missouri/A01667102/2017,EPI993806,,
EPI_ISL_262583,A/swine/Iowa/A01667094/2017,EPI993808,,
EPI_ISL_180661,A/swine/Nebraska/A01567868/2015,EPI593863,,
EPI_ISL_278972,A/swine/Italy/116840-2/2010,EPI1064249,,
EPI_ISL_262590,A/swine/Minnesota/A01667099/2017,EPI993822,,
EPI_ISL_262591,A/swine/Iowa/A01667095/2017,EPI993824,,
EPI_ISL_262585,A/swine/Iowa/A01667096/2017,EPI993812,,
EPI_ISL_180672,A/swine/Illinois/A01840351/2015,EPI593904,,
EPI_ISL_262599,A/swine/Missouri/A01667103/2017,EPI993841,,
EPI_ISL_180673,A/swine/Missouri/A01840324/2015,EPI593907,,
EPI_ISL_180678,A/swine/Illinois/A01462483/2015,EPI593941,,
EPI_ISL_180679,A/swine/Illinois/A01462475/2015,EPI593944,,
EPI_ISL_180677,A/swine/Illinois/A01462549/2015,EPI593938,,
EPI_ISL_180683,A/swine/Minnesota/A01489046/2014,EPI593956,,
EPI_ISL_180684,A/Equine/Sweden/SVA111206SZ0085/VIR165837/2011,EPI594013,Swedish_Veterinary_Agency_(SVA),Swedish_Veterinary_Agency_(SVA)
EPI_ISL_328158,A/swine/Arkansas/A01678570/2018,EPI1303212,,
EPI_ISL_328172,A/swine/Iowa/A02170162/2018,EPI1303267,,
EPI_ISL_33257,A/mallard/Minnesota/Sg-00168/2007,EPI187937,,
EPI_ISL_33263,A/blue-winged_teal/Louisiana/Sg-00189/2007,EPI187971,,
EPI_ISL_16880,A/wild_boar/Germany/WS169/2006,EPI14513,,
EPI_ISL_33266,A/mallard/Minnesota/Sg-00209/2007,EPI187999,,
EPI_ISL_499,A/Duck/Hokkaido/8/80,EPI2273,,
EPI_ISL_499,A/Duck/Hokkaido/8/80,EPI4779,,
EPI_ISL_328176,A/swine/Iowa/A02170011/2018,EPI1303275,,
EPI_ISL_164343,A/swine/Chachoengsao/NIAH105583-042/2012,EPI536621,,National_Institute_of_Animal_Health
EPI_ISL_164346,A/swine/Chachoengsao/NIAH105583-048/2012,EPI536645,,National_Institute_of_Animal_Health
EPI_ISL_164347,A/swine/Chachoengsao/NIAH105583-050/2012,EPI536653,,National_Institute_of_Animal_Health
EPI_ISL_164344,A/swine/Chachoengsao/NIAH105583-044/2012,EPI536629,,National_Institute_of_Animal_Health
EPI_ISL_164345,A/swine/Chachoengsao/NIAH105583-045/2012,EPI536637,,National_Institute_of_Animal_Health
EPI_ISL_164350,A/swine/Chachoengsao/NIAH105583-058/2012,EPI536677,,National_Institute_of_Animal_Health
EPI_ISL_164351,A/swine/Chachoengsao/NIAH105583-052-01/2012,EPI536685,,National_Institute_of_Animal_Health
EPI_ISL_164348,A/swine/Chachoengsao/NIAH105583-053/2012,EPI536661,,National_Institute_of_Animal_Health
EPI_ISL_164349,A/swine/Chachoengsao/NIAH105583-055/2012,EPI536669,,National_Institute_of_Animal_Health
EPI_ISL_164354,A/swine/Chachoengsao/NIAH105583-052-11/2012,EPI536709,,National_Institute_of_Animal_Health
EPI_ISL_164355,A/swine/Chachoengsao/NIAH105583-052-46/2012,EPI536717,,National_Institute_of_Animal_Health
EPI_ISL_164352,A/swine/Chachoengsao/NIAH105583-052-02/2012,EPI536693,,National_Institute_of_Animal_Health
EPI_ISL_164353,A/swine/Chachoengsao/NIAH105583-052-06/2012,EPI536701,,National_Institute_of_Animal_Health
EPI_ISL_164358,A/swine/Chachoengsao/NIAH105583-052-74/2012,EPI536741,,National_Institute_of_Animal_Health
EPI_ISL_164359,A/swine/Chachoengsao/NIAH105583-052-85/2012,EPI536749,,National_Institute_of_Animal_Health
EPI_ISL_279042,A/duck/Kagoshima/KU-d46/2016,EPI1064637,,Kagoshima_University
EPI_ISL_164356,A/swine/Chachoengsao/NIAH105583-052-52/2012,EPI536725,,National_Institute_of_Animal_Health
EPI_ISL_164357,A/swine/Chachoengsao/NIAH105583-052-64/2012,EPI536733,,National_Institute_of_Animal_Health
EPI_ISL_520,A/duck/Hokkaido/10/1985,EPI2441,,
EPI_ISL_522,A/duck/Hokkaido/5/1977,EPI2449,,
EPI_ISL_279063,A/equine/Sao_Paulo/16.19/2012,EPI1065020,,
EPI_ISL_164369,A/swine/Chachoengsao/NIAH105583-052-42/2012,EPI536829,,National_Institute_of_Animal_Health
EPI_ISL_19268402,A/swine/Kansas/N000247/2023,EPI3440628,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_279064,A/equine/Sao_Paulo/24.19/2012,EPI1065021,,
EPI_ISL_19268411,A/swine/Nebraska/I026909/2024,EPI3440688,"CEIRR_Influenza_Data_Processing_and_Communication_Center,_University_of_Pennsylvania_Center_of_Excellence_for_Influenza_Research",
EPI_ISL_279065,A/equine/Sao_Paulo/1.19/2012,EPI1065022,,
EPI_ISL_19301142,A/swine/California/A01104167/2024,EPI3477082,United_States_Department_of_Agriculture,
EPI_ISL_19186453,A/swine/Karaganda/45/2024,EPI3358292,Research_and_Production_Center_of_Microbiology_and_Virology,Research_and_Production_Center_of_Microbiology_and_Virology
EPI_ISL_19186454,A/swine/Karaganda/36/2024,EPI3358226,"Research_and_Production_Center_for_Microbiology_and_Virology,_Laboratory_for_Ecology_of_Viruses",Research_and_Production_Center_of_Microbiology_and_Virology
EPI_ISL_82483,A/mallard/Washington/44242-124/2006,EPI290506,,
EPI_ISL_33333,A/ruddy_turnstone/New_Jersey/Sg-00519/2008,EPI188297,,
EPI_ISL_82489,A/mallard/Oregon/44221-105/2006,EPI290548,,
EPI_ISL_33339,A/ruddy_turnstone/New_Jersey/Sg-00529/2008,EPI188316,,
EPI_ISL_82492,A/northern_pintail/Oregon/44249-559/2006,EPI290575,,
EPI_ISL_82498,A/double-crested_cormorant/California/20119-001/2007,EPI290615,,
EPI_ISL_98884,A/mallard/Sanjiang/90/2006,EPI341775,,
EPI_ISL_328258,A/swine/Indiana/A01812260/2017,EPI1303531,,
EPI_ISL_19186540,A/mallard/Idaho/23-028149-057/2023,EPI3358447,National_Veterinary_Services_Laboratories_-_USDA,National_Veterinary_Services_Laboratories_-_USDA
EPI_ISL_66122,A/green-winged_teal/Ohio/960/2002,EPI230690,,
EPI_ISL_770631,A/duck/Germany/R2555/2006,EPI1841254,Chemisches_und_Veterinaruntersuchungsamt_Stuttgart,Friedrich-Loeffler-Institut
EPI_ISL_66125,A/mallard/Ohio/1506/2006,EPI230714,,
EPI_ISL_66126,A/mallard/Ohio/651/2002,EPI230722,,
EPI_ISL_14762672,A/swine/Italy/280086/2017,EPI2141911,,
EPI_ISL_595,A/swan/Shimane/227/01,EPI3017,,
EPI_ISL_33365,A/mallard/Minnesota/Sg-00572/2008,EPI188415,,
EPI_ISL_82519,A/teal/Oregon/44336-122/2007,EPI290765,,
EPI_ISL_197211,A/swine/Illinois/A02035711/2015,EPI647501,,
EPI_ISL_82521,A/teal/Oregon/44336-130/2007,EPI290781,,
EPI_ISL_82520,A/American_green-winged_teal/Oregon/44336-124/2007,EPI290773,,
EPI_ISL_197209,A/swine/Nebraska/A01823621/2015,EPI647495,,
EPI_ISL_164446,A/swine/TienGiang/02-05-2/2011,EPI537155,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_98909,A/Anas_strepera/Arizona/A00271503/2009,EPI341899,,
EPI_ISL_164447,A/swine/TienGiang/02-06-2/2011,EPI537163,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_328283,A/blue-winged_teal/Alberta/162/2017,EPI1304332,,
EPI_ISL_606,A/duck/Hong_Kong/836/1980,EPI3065,,
EPI_ISL_197212,A/swine/North_Carolina/A02034471/2015,EPI647504,,
EPI_ISL_328293,A/mallard/Alberta/71/2017,EPI1304230,,
EPI_ISL_164450,A/swine/TienGiang/02-15-2/2011,EPI537187,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_197218,A/swine/Iowa/A02025203/2015,EPI647522,,
EPI_ISL_164451,A/swine/HoChiMinh/01-17-2/2011,EPI537195,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_164448,A/swine/TienGiang/02-07-2/2011,EPI537171,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
EPI_ISL_610,A/duck/Hong_Kong/22A/1976,EPI3081,,
EPI_ISL_295527,A/swine/Mexico/10598944/2014,EPI1160006,,
EPI_ISL_164449,A/swine/TienGiang/02-14-2/2011,EPI537179,National_Institute_of_Animal_Health,National_Institute_of_Animal_Health
